START_ID,END_ID,TYPE,name
膝关节结核,荔枝粥,recommand_eat,推荐食谱
韧带损伤,鸭肝浓香粥,recommand_eat,推荐食谱
热烧伤,荞麦粥,recommand_eat,推荐食谱
老年人肺性脑病,素樱桃肉,recommand_eat,推荐食谱
小儿功能性消化不良,鸡蛋木耳粥,recommand_eat,推荐食谱
高度近视,牛奶菠菜粥,recommand_eat,推荐食谱
膀胱葡萄状肉瘤,番茄炒菜花,recommand_eat,推荐食谱
失眠,牛奶大枣汤,recommand_eat,推荐食谱
玻璃体混浊,鸡肝银耳汤,recommand_eat,推荐食谱
肩关节结核,黑芝麻甜奶粥,recommand_eat,推荐食谱
毒瘾,海带粳米粥,recommand_eat,推荐食谱
浆细胞白血病,萝卜生菜汤,recommand_eat,推荐食谱
恙螨皮炎,人参鸽蛋汤,recommand_eat,推荐食谱
低钾血症,猪肝菠菜粥,recommand_eat,推荐食谱
慢性盆腔疼痛,三文鱼饺,recommand_eat,推荐食谱
先天性少白头,核桃片,recommand_eat,推荐食谱
先天性囊状腺样畸形,糖醋草鱼,recommand_eat,推荐食谱
军团菌病,羊腩萝卜丝粥,recommand_eat,推荐食谱
带状疱疹,三丝发菜羹,recommand_eat,推荐食谱
跖骨疲劳性骨折,菠菜双蛋羹,recommand_eat,推荐食谱
湿疹,马兰头菜粥,recommand_eat,推荐食谱
正中神经损伤,大枣人参汤,recommand_eat,推荐食谱
小儿丘疹性肢皮炎综合征,扁豆瘦肉汤,recommand_eat,推荐食谱
幼儿急疹,蔬菜杂烩粥,recommand_eat,推荐食谱
泥螺-日光性皮炎,枸杞核桃粥,recommand_eat,推荐食谱
小儿急性淋巴细胞性白血病,牛奶菠菜粥,recommand_eat,推荐食谱
外阴痛,菠菜豆腐汤,recommand_eat,推荐食谱
妊娠合并肾病综合征,西芹油菜牛奶汁,recommand_eat,推荐食谱
流感病毒肺炎,芹菜猪肉蒸饺,recommand_eat,推荐食谱
急性血源性骨髓炎,燕麦粳米粥,recommand_eat,推荐食谱
妊娠合并肾病综合征,枣莲三宝粥,recommand_eat,推荐食谱
咳嗽,红枣黑豆粥,recommand_eat,推荐食谱
胆汁性肝硬化,白茯苓粥,recommand_eat,推荐食谱
老年人低血糖症,黑米粥,recommand_eat,推荐食谱
尼曼-皮克病,南瓜奶汤,recommand_eat,推荐食谱
麻风性角膜病变,番茄菠萝汁,recommand_eat,推荐食谱
目病,百合芦笋汤,recommand_eat,推荐食谱
特发性心室颤动,雪菜青豆韭菜豆腐汤,recommand_eat,推荐食谱
卵巢成熟畸胎瘤,黄豆芽蘑菇汤,recommand_eat,推荐食谱
外痔,白菜蛋花粥,recommand_eat,推荐食谱
复发性腹股沟疝,黄芪山药羹,recommand_eat,推荐食谱
霉菌性尿道炎,花生猪蹄汤,recommand_eat,推荐食谱
牙列稀疏,鸡肉冬菜饼,recommand_eat,推荐食谱
儿童腹痛,红扁豆粥,recommand_eat,推荐食谱
癃闭,酱白菜,recommand_eat,推荐食谱
跟骨骨折,鸡蛋面,recommand_eat,推荐食谱
阴道良性肿瘤,豆腐皮春卷,recommand_eat,推荐食谱
感染性肋软骨炎,菠菜双蛋羹,recommand_eat,推荐食谱
急性肺脓肿,荞麦粥,recommand_eat,推荐食谱
脱水,油菜苹果牛奶汁,recommand_eat,推荐食谱
三尖瓣关闭不全,水萝卜丝拌白菜,recommand_eat,推荐食谱
急性右侧心力衰竭,芝麻黑豆粥,recommand_eat,推荐食谱
成人全垂体功能减退,番茄羊肉汤,recommand_eat,推荐食谱
精子增多症,鸡蛋布丁,recommand_eat,推荐食谱
耳后骨膜下脓肿,百合莲子绿豆粥,recommand_eat,推荐食谱
肺栓塞,番茄菠萝汁,recommand_eat,推荐食谱
肥厚型心肌病,番茄芹菜汁,recommand_eat,推荐食谱
急性粒细胞性白血病,山药芡实瘦肉粥,recommand_eat,推荐食谱
马尔尼菲青霉病,青菜饭,recommand_eat,推荐食谱
阴茎纤维性海绵体炎,芹菜炒土豆丝,recommand_eat,推荐食谱
创伤性肘关节炎,鸡蛋豆腐汤,recommand_eat,推荐食谱
全身性红斑狼疮,番茄菠萝汁,recommand_eat,推荐食谱
垂体性矮小病,子姜鸭脯,recommand_eat,推荐食谱
硬脑膜外脓肿,鲜蘑油菜心,recommand_eat,推荐食谱
骶髂关节扭伤或半脱位,苹果派,recommand_eat,推荐食谱
高血压,芹菜粥,recommand_eat,推荐食谱
阴道血管肉瘤,竹笋拌毛豆,recommand_eat,推荐食谱
脊椎炎,猪骨腐竹粥,recommand_eat,推荐食谱
女子梦交,山药桂圆粥,recommand_eat,推荐食谱
结肠过敏症,双菇番茄黄瓜紫菜汤,recommand_eat,推荐食谱
肺功能衰竭,木耳芝麻茶,recommand_eat,推荐食谱
视网膜炎,咖喱鸡肉包,recommand_eat,推荐食谱
小儿脑瘫,清炒黄豆芽,recommand_eat,推荐食谱
眼眶静脉性血管瘤,油菜干丝,recommand_eat,推荐食谱
小肠异物,黑芝麻果仁粥,recommand_eat,推荐食谱
肺癌脑转移,小米红枣粥,recommand_eat,推荐食谱
外阴瘙痒,牛奶玉米汤,recommand_eat,推荐食谱
血管运动性鼻炎,香菇扒白菜,recommand_eat,推荐食谱
紫癜性肾炎,海带果菜汁,recommand_eat,推荐食谱
颈型颈椎病,炸葡萄干蛋奶饼,recommand_eat,推荐食谱
胃隔膜,白汤鲫鱼,recommand_eat,推荐食谱
输尿管结核,卷心菜菠萝汁,recommand_eat,推荐食谱
毛霉病,蒜蓉苋菜牛肉汤,recommand_eat,推荐食谱
泌尿生殖系滴虫病,芹菜粥,recommand_eat,推荐食谱
视网膜母细胞瘤,白扁豆粥,recommand_eat,推荐食谱
胸骨骨折,杂粮粥,recommand_eat,推荐食谱
急性扁桃体炎,白萝卜水饺,recommand_eat,推荐食谱
特发性非硬化性门脉高压综合征,双皮鲫鱼,recommand_eat,推荐食谱
巨球蛋白血症,麸皮粥,recommand_eat,推荐食谱
妊娠合并白血病,山药薏米粥,recommand_eat,推荐食谱
小儿维生素D缺乏性手足搐搦症,牛奶菠菜粥,recommand_eat,推荐食谱
基底细胞癌,菠菜粥,recommand_eat,推荐食谱
痤疮,拌小白菜,recommand_eat,推荐食谱
外伤性腹膜后出血或血肿,苹果沙拉,recommand_eat,推荐食谱
接触性皮炎,金针炒鸡肉,recommand_eat,推荐食谱
小儿单纯性甲状腺肿,香菇牛肉粥,recommand_eat,推荐食谱
乙状结肠扭转,玉米粉燕麦粥,recommand_eat,推荐食谱
聚星障,薏米莲子粥,recommand_eat,推荐食谱
小儿窦性心律失常,绿豆芽拌海带,recommand_eat,推荐食谱
鼻疖,素炒菠菜,recommand_eat,推荐食谱
药物过敏性口炎,蔬菜杂烩粥,recommand_eat,推荐食谱
血管内乳头状血管内皮细胞瘤,丝瓜豆腐响螺汤,recommand_eat,推荐食谱
牛皮癣,红枣菊花粥,recommand_eat,推荐食谱
小儿急性胆囊炎,紫菜芙蓉汤,recommand_eat,推荐食谱
呼吸性细支气管相关的间质性肺疾病,松散蜂窝鸡蛋,recommand_eat,推荐食谱
硫化氢中毒,杂粮粥,recommand_eat,推荐食谱
间歇依赖型尖端扭转型室性心动过速,卷心菜烧肉蒸饺,recommand_eat,推荐食谱
妊娠合并急性胆囊炎,苹果生菜酸奶汁,recommand_eat,推荐食谱
代谢性碱中毒,牛奶菠菜粥,recommand_eat,推荐食谱
念珠菌病,豌豆拌鸡肉,recommand_eat,推荐食谱
坐骨神经痛,什菜面,recommand_eat,推荐食谱
宫颈癌,什菜面,recommand_eat,推荐食谱
跟骨骨折,五丝白菜卷,recommand_eat,推荐食谱
心脏黏液瘤,西兰花炒牛肉,recommand_eat,推荐食谱
中毒性肾病,糯米麦粥,recommand_eat,推荐食谱
肘关节强直,洋参鸡肉汤,recommand_eat,推荐食谱
纵隔脓肿,杂粮粥,recommand_eat,推荐食谱
蛛网膜炎,鱼头补脑汤,recommand_eat,推荐食谱
子宫息肉,番茄芹菜汁,recommand_eat,推荐食谱
妊娠合并急性肾盂肾炎,苹果生菜酸奶汁,recommand_eat,推荐食谱
输卵管上举,小麦粥,recommand_eat,推荐食谱
先天性心脏病,银耳瘦肉羹,recommand_eat,推荐食谱
脑发育不良,卤味鲜海带,recommand_eat,推荐食谱
膀胱结石,番茄芹菜汁,recommand_eat,推荐食谱
口角炎,红豆莲藕粥,recommand_eat,推荐食谱
千足虫灼伤,芹菜牛肉粥,recommand_eat,推荐食谱
心房内折返性心动过速,番茄青豆汤,recommand_eat,推荐食谱
主动脉瓣关闭不全,糯米饭,recommand_eat,推荐食谱
妊娠合并急性胆囊炎,西芹油菜牛奶汁,recommand_eat,推荐食谱
外阴平滑肌瘤,卷心菜菠萝汁,recommand_eat,推荐食谱
惊恐症,生煸荷兰豆,recommand_eat,推荐食谱
肋间神经痛,山药桂圆粥,recommand_eat,推荐食谱
色欲伤,牛奶玉米汤,recommand_eat,推荐食谱
缩窄性心包炎,核桃鸡,recommand_eat,推荐食谱
白癜风,鸡翅红汤,recommand_eat,推荐食谱
安眠药中毒,鸡蛋木耳粥,recommand_eat,推荐食谱
小肠炎,番茄羊排粥,recommand_eat,推荐食谱
先天性鼻咽部狭窄及闭锁,花生牛奶炖银耳,recommand_eat,推荐食谱
小儿埃可及柯萨奇病毒感染,鱼米油菜心,recommand_eat,推荐食谱
阴道血管肉瘤,银耳莲子羹,recommand_eat,推荐食谱
软骨母细胞瘤,罗汉果金银菜柿饼汤,recommand_eat,推荐食谱
剥脱性皮炎,燕麦粳米粥,recommand_eat,推荐食谱
成人多囊肾,清润白菜鱼片汤,recommand_eat,推荐食谱
脉络膜出血,紫菜芙蓉汤,recommand_eat,推荐食谱
肺念珠菌病,荞麦粥,recommand_eat,推荐食谱
痔疮,凉拌木耳菜,recommand_eat,推荐食谱
输尿管异位开口,雪菜青豆韭菜豆腐汤,recommand_eat,推荐食谱
膀胱炎,水晶莲子,recommand_eat,推荐食谱
精神发育迟滞,猕猴桃西米粥,recommand_eat,推荐食谱
泪腺肉样瘤病,油菜粥,recommand_eat,推荐食谱
肛窦炎,炝苦瓜,recommand_eat,推荐食谱
颅脑先天畸形,鲜奶核桃粥,recommand_eat,推荐食谱
急性肝病,扁豆小米粥,recommand_eat,推荐食谱
肺结节,猪肉枸杞汤,recommand_eat,推荐食谱
淋病,鱼蓉银耳羹,recommand_eat,推荐食谱
小儿急性播散性脑脊髓炎,空心菜粥,recommand_eat,推荐食谱
铅中毒引起的溶血性贫血,山药葡萄粥,recommand_eat,推荐食谱
药物性呼吸衰竭,包心菜猪肉粥,recommand_eat,推荐食谱
口腔结核性溃疡,芡实白果粥,recommand_eat,推荐食谱
神经性头痛,天麻补脑汤,recommand_eat,推荐食谱
小儿大动脉炎,苹果萝卜羊肉粥,recommand_eat,推荐食谱
阵发性室性心动过速,熏青豆,recommand_eat,推荐食谱
缩窄性心包炎,胡萝卜香蕉汁,recommand_eat,推荐食谱
缢死,罗汉果金银菜柿饼汤,recommand_eat,推荐食谱
卵巢过度刺激综合征,双菇番茄黄瓜紫菜汤,recommand_eat,推荐食谱
剥脱性角质松解症,胡萝卜豌豆汤,recommand_eat,推荐食谱
腹部创伤,菠菜豆腐汤,recommand_eat,推荐食谱
血栓闭塞性脉管炎,板栗烧白菜,recommand_eat,推荐食谱
小儿单侧肺异常透亮综合征,豌豆苗豆腐汤,recommand_eat,推荐食谱
小儿肾小管性酸中毒,瑶柱生菜白菜汤,recommand_eat,推荐食谱
拇外翻,西式牛奶粥,recommand_eat,推荐食谱
颅骨纤维异常增生症,银贝雪梨汤,recommand_eat,推荐食谱
神经纤维瘤病,冬瓜草鱼汤,recommand_eat,推荐食谱
假性高血压,猕猴桃香蕉奶酪汁,recommand_eat,推荐食谱
白癜风,补肾充耳汤,recommand_eat,推荐食谱
食物过敏性哮喘,素炒圆白菜,recommand_eat,推荐食谱
许莫氏结节,健胃大豆芽肉片汤,recommand_eat,推荐食谱
小叶增生,白菜包子,recommand_eat,推荐食谱
遗精,莲子百合炖燕窝,recommand_eat,推荐食谱
腋毛癣菌病,鸡肉蛋花汤,recommand_eat,推荐食谱
腺泡状软组织肉瘤,青菜饭,recommand_eat,推荐食谱
白淫,虾仁韭菜粥,recommand_eat,推荐食谱
甲型副伤寒,核桃虾仁粥,recommand_eat,推荐食谱
主动脉瓣膜部狭窄,玻璃白菜汤,recommand_eat,推荐食谱
脑干胶质瘤,鲫鱼汤,recommand_eat,推荐食谱
埃可病毒疹,黑豆莲藕鸡汤,recommand_eat,推荐食谱
延髓进行性麻痹,鲜百合冬菇西兰花汤,recommand_eat,推荐食谱
小儿先天性主动脉瓣狭窄,菠菜双蛋羹,recommand_eat,推荐食谱
门静脉血栓形成,罗汉果金银菜柿饼汤,recommand_eat,推荐食谱
血管神经性水肿,炒绿豆芽,recommand_eat,推荐食谱
老年人高血压危象,鲜菊白菜豆腐汤,recommand_eat,推荐食谱
口蹄疫,白菜虾仁面汤,recommand_eat,推荐食谱
结节性硬化病,胡萝卜苹果汁,recommand_eat,推荐食谱
脑震荡,大白菜饺,recommand_eat,推荐食谱
甲状舌管囊肿与鳃裂囊肿,青菜饭,recommand_eat,推荐食谱
多汗症,香菜鸡蛋羹,recommand_eat,推荐食谱
股骨干骨折,虾仁青豆炒饭,recommand_eat,推荐食谱
小儿肥厚型心肌病,哈密瓜百合汤,recommand_eat,推荐食谱
纵隔气肿,白菜蛋花粥,recommand_eat,推荐食谱
小儿热带嗜酸性粒细胞增多症,海带粳米粥,recommand_eat,推荐食谱
小儿支气管炎,腊鲜鸭肝,recommand_eat,推荐食谱
先天性肛门直肠狭窄,香菇油菜面筋粥,recommand_eat,推荐食谱
眼眶蜂窝织炎,三丝瓜羹,recommand_eat,推荐食谱
脊椎骨质增生,紫菜粥,recommand_eat,推荐食谱
膀胱癌,萝卜粳米粥,recommand_eat,推荐食谱
气胀,芹菜粥,recommand_eat,推荐食谱
浆膜下肌瘤,山药莲子苡仁粥,recommand_eat,推荐食谱
五氯酚钠中毒,小黄瓜凉拌面,recommand_eat,推荐食谱
外伤后脑膨出,鸽蛋菜心粥,recommand_eat,推荐食谱
阴道壁息肉,豆浆南瓜汤,recommand_eat,推荐食谱
芽生菌病样脓皮病,奶油扒白菜,recommand_eat,推荐食谱
内分泌病,油菜粥,recommand_eat,推荐食谱
混合性厌氧菌感染,木瓜胡萝卜玉米粥,recommand_eat,推荐食谱
农药中毒所致的精神障碍,菠菜豆腐汤,recommand_eat,推荐食谱
非典型分枝杆菌性巩膜炎,白菜虾仁面汤,recommand_eat,推荐食谱
微小病变型肾病,胡萝卜苹果汁,recommand_eat,推荐食谱
细粒棘球蚴病,白菜蛋花粥,recommand_eat,推荐食谱
继发于无晶状体眼和人工晶状体眼的青光眼,冬菇椰菜豆腐粉丝汤,recommand_eat,推荐食谱
膀胱脱垂,白菜包子,recommand_eat,推荐食谱
气虚血瘀证,薏米炖鸭,recommand_eat,推荐食谱
淋巴癌,鲤鱼首乌汤,recommand_eat,推荐食谱
肝硬化男性性功能减弱综合征,绿豆豆沙包,recommand_eat,推荐食谱
尿道下裂,牛奶菠菜粥,recommand_eat,推荐食谱
慢性化脓性鼻窦炎,猕猴桃苡仁粥,recommand_eat,推荐食谱
铁利用性贫血,猪肝绿豆粥,recommand_eat,推荐食谱
玻璃体寄生虫病,小麦粥,recommand_eat,推荐食谱
皮炎,荠菜肉丝豆腐羹,recommand_eat,推荐食谱
红眼病,木耳菊花鱼丸,recommand_eat,推荐食谱
全身性特发性毛细血管扩张症,香菇小油菜,recommand_eat,推荐食谱
过敏性哮喘,蔬菜杂烩粥,recommand_eat,推荐食谱
结缔组织性肠炎,白菜姜葱汤,recommand_eat,推荐食谱
低眼压性青光眼,白果冬瓜粥,recommand_eat,推荐食谱
肾动脉瘤,苹果泥,recommand_eat,推荐食谱
脑结核瘤,鸡蛋木耳粥,recommand_eat,推荐食谱
子宫颈残端癌,土豆莲藕汁,recommand_eat,推荐食谱
老年性耳聋,芝麻贡菜,recommand_eat,推荐食谱
霉菌性外阴炎,腰果西兰花,recommand_eat,推荐食谱
共同性斜视,鸡蛋黄花汤,recommand_eat,推荐食谱
白屑风,香菇薏米饭,recommand_eat,推荐食谱
肠道蛔虫,香椿芽粥,recommand_eat,推荐食谱
肺功能衰竭,胡萝卜番茄汤,recommand_eat,推荐食谱
带状疱疹,茉莉花粥,recommand_eat,推荐食谱
痹证,肉桂米饭,recommand_eat,推荐食谱
血友病,糖醋青萝卜丝,recommand_eat,推荐食谱
厌氧菌肺炎,薄荷莲子羹,recommand_eat,推荐食谱
憩室病,阿胶鸡蛋汤,recommand_eat,推荐食谱
胃肠型食物中毒,荞麦面条,recommand_eat,推荐食谱
良性脑瘤,炒胡萝卜,recommand_eat,推荐食谱
神经纤维肉瘤,赤小豆鲤鱼汤,recommand_eat,推荐食谱
慢性单纯性咽炎,莲子红豆沙,recommand_eat,推荐食谱
热带痉挛性轻截瘫,豌豆拌鸡肉,recommand_eat,推荐食谱
卵巢无性细胞瘤,双菇番茄黄瓜紫菜汤,recommand_eat,推荐食谱
闭合性颅脑损伤,干冬菜粥,recommand_eat,推荐食谱
血毒,大豆芽冬菇脚腐皮汤,recommand_eat,推荐食谱
白塞病,苦瓜猪瘦肉汤,recommand_eat,推荐食谱
口腔尖锐湿疣,培根白菜粥,recommand_eat,推荐食谱
肺炎球菌肺炎,黄瓜三丝汤,recommand_eat,推荐食谱
传染性单核细胞增多,人参小米粥,recommand_eat,推荐食谱
苔藓样念珠状疹,牛奶菠菜粥,recommand_eat,推荐食谱
结节性多动脉炎,红豆糯米粥,recommand_eat,推荐食谱
背痈,红枣黑豆粥,recommand_eat,推荐食谱
急性颈椎间盘突出症,火腿萝卜粥,recommand_eat,推荐食谱
老年人脑栓塞,土豆烤猪肉,recommand_eat,推荐食谱
小儿神经母细胞瘤,小米素羹,recommand_eat,推荐食谱
乳发,金银花苦瓜汤,recommand_eat,推荐食谱
小儿动脉瘤样骨囊肿,西米猕猴桃粥,recommand_eat,推荐食谱
痰毒,卷心菜梨汁,recommand_eat,推荐食谱
早搏,清炒绿豆芽,recommand_eat,推荐食谱
回乳,小白菜猪肉饺,recommand_eat,推荐食谱
宫颈糜烂,鲈鱼粥,recommand_eat,推荐食谱
闭合性脑外伤,枸杞炖鲫鱼,recommand_eat,推荐食谱
过敏性休克,黄瓜拌香菜,recommand_eat,推荐食谱
耳疮,荸荠豆腐汤,recommand_eat,推荐食谱
跟骨骨髓炎,豇豆饺,recommand_eat,推荐食谱
胃穿孔,玉米蒸饺,recommand_eat,推荐食谱
蜂窝肺综合征,粉蒸白菜,recommand_eat,推荐食谱
咽血管畸形,芝麻小米粥,recommand_eat,推荐食谱
缺水和缺钠,卷心菜菠萝汁,recommand_eat,推荐食谱
骨旁骨肉瘤,鲜蚕豆紫菜汤,recommand_eat,推荐食谱
老年人血管性痴呆,天麻鱼片,recommand_eat,推荐食谱
月经病,牛肉青豆粥,recommand_eat,推荐食谱
急性胰腺炎,土豆莲藕汁,recommand_eat,推荐食谱
慢性肥厚性鼻炎,黑米粥,recommand_eat,推荐食谱
外耳道真菌病,鸡翅炖鳝鱼,recommand_eat,推荐食谱
妊娠合并生殖器疱疹,白菜包子,recommand_eat,推荐食谱
噪声性聋,雪菜鸡丝面,recommand_eat,推荐食谱
先天性食管憩室,白菜蛋花粥,recommand_eat,推荐食谱
麻风病,茄子粥,recommand_eat,推荐食谱
慢性胰腺炎,鲤鱼脑粥,recommand_eat,推荐食谱
外阴结核,杏仁蛋花糊,recommand_eat,推荐食谱
甲状腺激素抵抗综合征,冬瓜汤,recommand_eat,推荐食谱
角膜病,青胡萝卜排骨汤,recommand_eat,推荐食谱
胎记,番茄玫瑰汁,recommand_eat,推荐食谱
膝关节侧副韧带损伤,青菜包,recommand_eat,推荐食谱
膈疝,小麦粥,recommand_eat,推荐食谱
贲门黏膜撕裂综合征,小米素羹,recommand_eat,推荐食谱
门静脉高压性胃病,薏米炖里脊,recommand_eat,推荐食谱
溢泪症,鸡肉冬菇蒸饺,recommand_eat,推荐食谱
毛发红糠疹,猕猴桃西芹汁,recommand_eat,推荐食谱
肾萎缩,土豆泥牛奶粥,recommand_eat,推荐食谱
先天性性联无γ-球蛋白血症,油菜粥,recommand_eat,推荐食谱
三尖瓣闭锁,芝麻拌白菜丁,recommand_eat,推荐食谱
遗传性肾炎,杂粮粥,recommand_eat,推荐食谱
慢性骨髓炎,羊腩萝卜丝粥,recommand_eat,推荐食谱
流感病毒肺炎,蒸肝鸡蛋羹,recommand_eat,推荐食谱
蛛网膜炎,杏仁苹果豆腐羹,recommand_eat,推荐食谱
先天性梅毒性肝硬化,山药牛蒡汁,recommand_eat,推荐食谱
隐睾,黑米粥,recommand_eat,推荐食谱
衣原体淋巴肉芽肿,油豆腐油菜,recommand_eat,推荐食谱
面神经炎,青椒炒肉丝,recommand_eat,推荐食谱
骶髂关节扭伤,西兰花炒虾仁,recommand_eat,推荐食谱
卵巢纤维瘤病,紫菜芙蓉汤,recommand_eat,推荐食谱
鸡胸,素炒黄豆芽,recommand_eat,推荐食谱
咽喉部外伤,冬瓜草鱼汤,recommand_eat,推荐食谱
小儿慢性大疱性疾病,菜花泥子汤,recommand_eat,推荐食谱
月经不调,鸡蛋布丁,recommand_eat,推荐食谱
骨巨细胞瘤,丝瓜猪肉汤,recommand_eat,推荐食谱
麻风病,芹菜炒香菇,recommand_eat,推荐食谱
跟腱断裂,猪骨萝卜汤,recommand_eat,推荐食谱
腓骨肌萎缩症,鸡肉蘑菇汤,recommand_eat,推荐食谱
色素性口周红斑,鸽蛋粥,recommand_eat,推荐食谱
鼻前颅底肿瘤,牛奶菠菜粥,recommand_eat,推荐食谱
小儿槭糖尿病,木瓜胡萝卜玉米粥,recommand_eat,推荐食谱
小儿烟雾病,白菜粥,recommand_eat,推荐食谱
卡氏肺囊虫肺炎,花生杏仁粥,recommand_eat,推荐食谱
性心理障碍,猪肉酸菜包,recommand_eat,推荐食谱
股骨干骨折,鸡肉冬菜饼,recommand_eat,推荐食谱
脑梗塞,木耳炒西芹,recommand_eat,推荐食谱
分裂情感性精神病,菠菜黄花猪肝汤,recommand_eat,推荐食谱
阿米巴肝脓肿,大白菜饺,recommand_eat,推荐食谱
桡管综合征,生菜鸡丝,recommand_eat,推荐食谱
外阴白化病,小麦豆角粥,recommand_eat,推荐食谱
脑蛛网膜下腔出血,白菜虾仁面汤,recommand_eat,推荐食谱
妊娠期糖尿病,赤小豆冬瓜祛湿汤,recommand_eat,推荐食谱
链球菌感染,银下莲子糯米粥,recommand_eat,推荐食谱
门脉高压性肠病,什菜面,recommand_eat,推荐食谱
弥漫性血管内凝血,赤小豆鸡汤,recommand_eat,推荐食谱
深脓疱病,哈密瓜香蕉汁,recommand_eat,推荐食谱
过敏性紫癜,花生猪蹄汤,recommand_eat,推荐食谱
老年人肺癌,香菇薏米饭,recommand_eat,推荐食谱
泪腺分泌功能减退,干冬菜粥,recommand_eat,推荐食谱
肠道厌氧菌感染,山药桂圆粥,recommand_eat,推荐食谱
直肠内异物,豆腐蛋饺,recommand_eat,推荐食谱
慢性病,酱黄花菜,recommand_eat,推荐食谱
衣原体淋巴肉芽肿,豆腐烧油菜,recommand_eat,推荐食谱
放线菌病,绿豆豆沙包,recommand_eat,推荐食谱
肠道蛔虫,百合花鸡蛋羹,recommand_eat,推荐食谱
膀胱脱垂,白萝卜油菜汁,recommand_eat,推荐食谱
细菌性阴道病,小炒香干芹菜,recommand_eat,推荐食谱
血栓性静脉炎,卷心菜菠萝汁,recommand_eat,推荐食谱
偏瘫,酱牛肉,recommand_eat,推荐食谱
Asperger综合征,香菜莲藕饺,recommand_eat,推荐食谱
小儿生殖细胞瘤,蜜制胡萝卜,recommand_eat,推荐食谱
女性假两性畸形,蔬菜杂烩粥,recommand_eat,推荐食谱
良性前列腺增生,白菜小米卷,recommand_eat,推荐食谱
气单胞菌肺炎,蘑菇鸡丝蛋花汤,recommand_eat,推荐食谱
癃闭,猪肉水饺,recommand_eat,推荐食谱
小儿急性间歇性卟啉病,银耳参枣羹,recommand_eat,推荐食谱
上睑下垂,黄瓜鸡片汤,recommand_eat,推荐食谱
帕金森病性痴呆,花生牛奶炖银耳,recommand_eat,推荐食谱
寒性荨麻疹,玉米皮酥,recommand_eat,推荐食谱
间充质软骨肉瘤,紫菜豆腐肉片汤,recommand_eat,推荐食谱
积聚,茯苓莲子粥,recommand_eat,推荐食谱
女性假两性畸形,肉片粥,recommand_eat,推荐食谱
痱,香菇炒菜花,recommand_eat,推荐食谱
钝挫伤,山药牛蒡汁,recommand_eat,推荐食谱
冠心病,荞麦粥,recommand_eat,推荐食谱
颅骨巨细胞瘤,蘑菇玉兰片汤,recommand_eat,推荐食谱
点状内层脉络膜病变,黄芪牛肉粥,recommand_eat,推荐食谱
妊娠合并缺铁性贫血,杏仁苹果豆腐羹,recommand_eat,推荐食谱
连续性肢端皮炎,荷兰豆饺,recommand_eat,推荐食谱
老年人糖尿病肾病,鲜百合冬菇西兰花汤,recommand_eat,推荐食谱
